,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
140,Just A Kiss,Lady Antebellum,2011,2nRvKHh2mtOfIQ4jcAkP9q,0.446,0.593,218840,0.639,0.0,1,0.0998,-5.826,0.0307,142.881,4,0.332,74,"contemporary country,country,country dawn,country pop,country road",contemporary country,12,0,0
141,Dirt Road Anthem,Jason Aldean,2011,0adTN3vBO3pimO3yfxm9vg,0.32,0.677,229413,0.739,2.36e-06,2,0.12,-5.068,0.0352,127.04,4,0.658,79,"contemporary country,country,country road",contemporary country,12,0,0
142,Dynamite,Taio Cruz,2011,2srTtSrzY4n10C7abVTrBm,0.00338,0.754,203867,0.806,0.0,4,0.033,-3.177,0.0842,119.973,4,0.851,75,"dance pop,edm,pop,pop rap",pop,36,0,0
143,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,70Wb2xKOAOte8iNkBpezQs,0.00419,0.668,263467,0.651,0.0,1,0.314,-5.407,0.0345,131.507,4,0.342,71,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
144,I Wanna Go,Britney Spears,2011,18qk1M9s2xtu53fEQtM3bE,0.00379,0.696,210267,0.546,3.8e-06,5,0.332,-6.55,0.0414,130.002,4,0.787,85,"dance pop,pop,post-teen pop",pop,36,0,0
145,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,4Fmwzj3lxLrIVsLyEt4p8G,0.0441,0.418,296160,0.797,2.56e-06,11,0.626,-3.521,0.314,149.834,4,0.416,84,"dance pop,hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap",pop,36,0,0
146,You Make Me Feel...,Cobra Starship Featuring Sabi,2011,3XqdUqkc3t3klNV0ykFQu3,0.0191,0.668,215693,0.857,6.71e-06,7,0.0385,-2.944,0.0535,131.959,4,0.748,64,"dance pop,neon pop punk,pop punk,post-teen pop",dance pop,15,0,0
147,Yeah 3X,Chris Brown,2011,7Ee0JfcUAJq7pDFrnx5WYF,0.000363,0.698,241667,0.888,0.0,11,0.0915,-3.218,0.046,129.932,4,0.705,91,"dance pop,pop,pop rap,r&b,rap",pop,36,0,0
148,Moment 4 Life,Nicki Minaj Featuring Drake,2011,2SsYUdeL0WBlL6CipICSN5,0.385,0.498,279307,0.884,0.0,11,0.215,-3.835,0.375,130.274,5,0.37,91,"dance pop,hip pop,pop,pop rap,post-teen pop,queens hip hop",pop,36,0,0
149,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011,3G1Na74xxuAhiWLyXDPCFN,0.0951,0.586,283733,0.945,3.36e-06,7,0.397,-4.577,0.431,155.953,4,0.483,83,"g funk,gangster rap,hip hop,rap,west coast rap",rap,42,0,0
150,Just A Dream,Nelly,2011,3ZdJffjzJWFimSQyxgGIxN,0.0421,0.531,237800,0.752,0.0,1,0.12,-6.161,0.0305,89.917,4,0.103,80,"dance pop,hip hop,pop rap,rap,southern hip hop,st louis rap,urban contemporary",dance pop,15,0,0
151,Motivation,Kelly Rowland Featuring Lil Wayne,2011,5ryMR3slEKQXaGYGdZVSSw,0.193,0.729,243413,0.661,5e-05,9,0.0674,-6.691,0.0449,140.92,4,0.223,71,"atl hip hop,dance pop,hip pop,neo soul,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",pop,36,0,0
152,Stereo Love,Edward Maya & Vika Jigulina,2011,74yEgTOgJIohfN1zh52AjN,0.0355,0.785,248093,0.806,0.00961,9,0.0766,-4.554,0.0376,127.041,4,0.367,64,"romanian house,romanian pop",romanian house,44,0,0
153,Jar Of Hearts,Christina Perri,2011,2p3ygTLthnqH1XmE8b7mtS,0.726,0.349,246587,0.348,0.0,3,0.12,-6.142,0.0316,74.541,4,0.0886,76,"dance pop,indie cafe pop,neo mellow,pop,pop rock,post-teen pop,viral pop",pop,36,0,0
154,Roll Up,Wiz Khalifa,2011,7CELQKrSCYpEi9OXWCBDek,0.0454,0.516,227773,0.794,0.0,3,0.157,-5.503,0.259,125.352,5,0.582,88,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
155,Sexy And I Know It,LMFAO,2011,0obBFrPYkSoBJbvHfUIhkv,0.1,0.707,199480,0.861,0.0,7,0.191,-4.225,0.316,130.021,4,0.795,72,"dance pop,edm,pop rap",dance pop,15,0,0
156,Rocketeer,Far*East Movement Featuring Ryan Tedder,2011,45sDIKapDyxPl307QpEAwl,0.181,0.664,211253,0.845,0.0,4,0.267,-6.115,0.0461,96.005,4,0.357,71,"asian american hip hop,dance pop,edm,pop rap",dance pop,15,0,0
157,All Of The Lights,Kanye West,2011,7zbDSQelDmlaEhUDnLMViZ,0.0632,0.547,299600,0.794,4.88e-05,1,0.196,-3.28,0.0596,142.138,4,0.243,93,"chicago rap,rap",rap,42,0,0
158,Hold It Against Me,Britney Spears,2011,5MtbCiKeHd86jvJm5B0P4q,0.0103,0.648,228827,0.722,0.0,0,0.24,-4.813,0.0427,132.973,4,0.389,85,"dance pop,pop,post-teen pop",pop,36,0,0
